SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
31,Main_0.RS422_Tx0.IBufTxInProgress_i.Temp1,MasterClk,ClockDividerPorts_work_main_architecture_main_0layer1_5|div_i_inferred_clock,Main_0.RS422_Tx0.UartTxUart.Busy_i,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
32,Main_0.RS422_Tx0.UartTxUart.TxD,ClockDividerPorts_work_main_architecture_main_0layer1_5|div_i_inferred_clock,MasterClk,Main_0.RS422_Tx0.UartTxFifo.fifo_i.data_r[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
33,Main_0.RS422_Tx0.IBufStartTx.Temp1,ClockDividerPorts_work_main_architecture_main_0layer1_5|div_i_inferred_clock,MasterClk,Main_0.RS422_Tx0.StartTx,Different Clock Domains,YES,2,YES,Safe CDC path detected.
34,Main_0.RS422_Rx0.UartFifo.fifo_i.ram[7:0],MasterClk,VariableClockDividerPorts_work_main_architecture_main_0layer1_3|clko_i_inferred_clock,Main_0.RS422_Rx0.Uart.Uart.DataO[7:0],Different Clock Domains,NO,0,NO,No synchronizer circuit detected.
35,Main_0.RS422_Rx0.ClkSyncWrite.Temp1,MasterClk,VariableClockDividerPorts_work_main_architecture_main_0layer1_3|clko_i_inferred_clock,Main_0.RS422_Rx0.Uart.Uart.RxAv,Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
36,Main_0.RS422_Rx0.Uart.ClkSyncRxd.Temp1,VariableClockDividerPorts_work_main_architecture_main_0layer1_3|clko_i_inferred_clock,MasterClk,Main_0.IBufRxd0.O,Different Clock Domains,YES,2,YES,Safe CDC path detected.
37,Filterwheel_sb_0.CORERESETP_0.ddr_settled_q1,Filterwheel_sb_0/CCC_0/GL0,Filterwheel_sb_0/FABOSC_0/I_RCOSC_25_50MHZ/CLKOUT,NA,False Path Constraint,YES,2,NO,Combinatorial logic detected at clock domain crossing.
38,Filterwheel_sb_0.CORERESETP_0.release_sdif0_core_q1,Filterwheel_sb_0/CCC_0/GL0,Filterwheel_sb_0/FABOSC_0/I_RCOSC_25_50MHZ/CLKOUT,NA,False Path Constraint,YES,2,NO,Combinatorial logic detected at clock domain crossing.
39,Filterwheel_sb_0.CORERESETP_0.release_sdif1_core_q1,Filterwheel_sb_0/CCC_0/GL0,Filterwheel_sb_0/FABOSC_0/I_RCOSC_25_50MHZ/CLKOUT,NA,False Path Constraint,YES,2,NO,Combinatorial logic detected at clock domain crossing.
40,Filterwheel_sb_0.CORERESETP_0.release_sdif2_core_q1,Filterwheel_sb_0/CCC_0/GL0,Filterwheel_sb_0/FABOSC_0/I_RCOSC_25_50MHZ/CLKOUT,NA,False Path Constraint,YES,2,NO,Combinatorial logic detected at clock domain crossing.
41,Filterwheel_sb_0.CORERESETP_0.release_sdif3_core_q1,Filterwheel_sb_0/CCC_0/GL0,Filterwheel_sb_0/FABOSC_0/I_RCOSC_25_50MHZ/CLKOUT,NA,False Path Constraint,YES,2,NO,Combinatorial logic detected at clock domain crossing.
