
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	. IBufP1Ports_17, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_18, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_19, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_2, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_20, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_21, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_22, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_23, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_24, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_25, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_26, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_27, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_28, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_29, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_3, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_30, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_31, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_32, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_33, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_34, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_35, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_36, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_37, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_38, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_39, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_4, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_40, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_5, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_6, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_7, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_8, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP1Ports_9, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_1, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_10, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_11, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_12, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_2, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_3, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_5, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_6, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_7, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_8, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP2Ports_9, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP3Ports, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP3Ports_0, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP3Ports_1, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP3Ports_2, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP3Ports_7, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP3Ports_7_0, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP3Ports_7_1, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. IBufP3Ports_7_2, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. Ltc2378AccumQuadPorts, 889, 1189, 1077, 0, 0, 0, 0, 1, 0
.	.	.	. SpiMasterQuadPorts_work_main_architecture_main_0layer1, 111, 114, 0, 0, 0, 0, 0, 0, 0
.	.	.	. VariableClockDividerPorts_work_main_architecture_main_1layer1_2_6, 49, 66, 64, 0, 0, 0, 0, 0, 0
.	.	. OneShotPorts_work_main_architecture_main_0layer1, 12, 6, 10, 0, 0, 0, 0, 1, 0
.	.	. OneShotPorts_work_main_architecture_main_1layer1, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	. PPSCountPorts_work_main_architecture_main_0layer1, 67, 6, 64, 0, 0, 0, 0, 0, 0
.	.	. RegisterSpacePorts_10, 339, 602, 172, 0, 0, 0, 0, 1, 0
.	.	. SpiDacPorts_work_main_architecture_main_0layer1, 73, 58, 19, 0, 0, 0, 0, 1, 0
.	.	.	. SpiMasterPorts_work_main_architecture_main_0layer1, 53, 53, 19, 0, 0, 0, 0, 0, 0
.	.	. SpiDacQuadPorts_102000000_2, 284, 74, 40, 0, 0, 0, 0, 1, 0
.	.	.	. SpiMasterQuadPorts_work_main_architecture_main_1layer1, 152, 68, 40, 0, 0, 0, 0, 0, 0
.	.	. SpiDacQuadPorts_102000000_3, 383, 149, 8, 0, 0, 0, 0, 1, 0
.	.	.	. SpiMasterQuadPorts_work_main_architecture_main_2layer1, 203, 143, 8, 0, 0, 0, 0, 0, 0
.	.	. SpiDeviceDualPorts_work_main_architecture_main_0layer1, 65, 42, 12, 0, 0, 0, 0, 1, 0
.	.	.	. SpiMasterDualPorts_work_main_architecture_main_0layer1, 44, 37, 12, 0, 0, 0, 0, 0, 0
.	.	. UartRxFifoExtClk_10_0, 85, 71, 32, 0, 0, 1, 0, 0, 0
.	.	.	. IBufP2Ports_0_9, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. UartRxExtClk_3, 27, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. IBufP2Ports_0_3, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. UartRxRaw_3, 25, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	. gated_fifo_8_10_1_5, 56, 36, 32, 0, 0, 1, 0, 0, 0
.	.	.	.	. fifo_8_10_1_5, 52, 34, 32, 0, 0, 1, 0, 0, 0
.	.	. UartRxFifoExtClk_10_1, 85, 71, 32, 0, 0, 1, 0, 0, 0
.	.	.	. IBufP2Ports_0_7, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. UartRxExtClk_2, 27, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. IBufP2Ports_0_2, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. UartRxRaw_2, 25, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	. gated_fifo_8_10_1_3, 56, 36, 32, 0, 0, 1, 0, 0, 0
.	.	.	.	. fifo_8_10_1_3, 52, 34, 32, 0, 0, 1, 0, 0, 0
.	.	. UartRxFifoExtClk_10_2, 85, 71, 32, 0, 0, 1, 0, 0, 0
.	.	.	. IBufP2Ports_0_5, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. UartRxExtClk_1, 27, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. IBufP2Ports_0_1, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. UartRxRaw_1, 25, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	. gated_fifo_8_10_1_1, 56, 36, 32, 0, 0, 1, 0, 0, 0
.	.	.	.	. fifo_8_10_1_1, 52, 34, 32, 0, 0, 1, 0, 0, 0
.	.	. UartRxFifoExtClk_10_3, 85, 71, 32, 0, 0, 1, 0, 0, 0
.	.	.	. IBufP2Ports_0, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. UartRxExtClk_0, 27, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. IBufP2Ports_0_0, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. UartRxRaw_0, 25, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	. gated_fifo_8_10_0, 56, 36, 32, 0, 0, 1, 0, 0, 0
.	.	.	.	. fifo_8_10_0, 52, 34, 32, 0, 0, 1, 0, 0, 0
.	.	. UartTxFifoExtClk_10_0, 75, 58, 37, 0, 0, 1, 0, 0, 0
.	.	.	. IBufP2Ports_0_10, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. IBufP2Ports_16_11, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. UartTx_3, 7, 14, 5, 0, 0, 0, 0, 0, 0
.	.	.	. gated_fifo_8_10_1_6, 58, 37, 32, 0, 0, 1, 0, 0, 0
.	.	.	.	. fifo_8_10_1_6, 53, 34, 32, 0, 0, 1, 0, 0, 0
.	.	. UartTxFifoExtClk_10_1, 75, 58, 37, 0, 0, 1, 0, 0, 0
.	.	.	. IBufP2Ports_0_8, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. IBufP2Ports_16_7, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. UartTx_2, 7, 14, 5, 0, 0, 0, 0, 0, 0
.	.	.	. gated_fifo_8_10_1_4, 58, 37, 32, 0, 0, 1, 0, 0, 0
.	.	.	.	. fifo_8_10_1_4, 53, 34, 32, 0, 0, 1, 0, 0, 0
.	.	. UartTxFifoExtClk_10_2, 75, 58, 37, 0, 0, 1, 0, 0, 0
.	.	.	. IBufP2Ports_0_6, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. IBufP2Ports_16_3, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. UartTx_1, 7, 14, 5, 0, 0, 0, 0, 0, 0
.	.	.	. gated_fifo_8_10_1_2, 58, 37, 32, 0, 0, 1, 0, 0, 0
.	.	.	.	. fifo_8_10_1_2, 53, 34, 32, 0, 0, 1, 0, 0, 0
.	.	. UartTxFifoExtClk_10_3, 75, 58, 37, 0, 0, 1, 0, 0, 0
.	.	.	. IBufP2Ports_0_4, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. IBufP2Ports_4, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. UartTx_0, 7, 14, 5, 0, 0, 0, 0, 0, 0
.	.	.	. gated_fifo_8_10_1_0, 58, 37, 32, 0, 0, 1, 0, 0, 0
.	.	.	.	. fifo_8_10_1_0, 53, 34, 32, 0, 0, 1, 0, 0, 0
.	.	. VariableClockDividerPorts_work_main_architecture_main_0layer1_0, 9, 3, 32, 0, 0, 0, 0, 1, 0
.	.	. VariableClockDividerPorts_work_main_architecture_main_0layer1_1, 9, 3, 32, 0, 0, 0, 0, 1, 0
.	.	. VariableClockDividerPorts_work_main_architecture_main_0layer1_2, 9, 3, 32, 0, 0, 0, 0, 1, 0
.	.	. VariableClockDividerPorts_work_main_architecture_main_0layer1_3, 9, 3, 32, 0, 0, 0, 0, 1, 0
