pin,slack
TP_obuf[2]/U0/U_IOPAD:D,
TP_obuf[2]/U0/U_IOPAD:E,
TP_obuf[2]/U0/U_IOPAD:PAD,
DMMainPorts_0/RegisterSpace/DataOut[26]:CLK,3030
DMMainPorts_0/RegisterSpace/DataOut[26]:D,4932
DMMainPorts_0/RegisterSpace/DataOut[26]:EN,4406
DMMainPorts_0/RegisterSpace/DataOut[26]:Q,3030
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/waddr_r_cry[7]:B,7575
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/waddr_r_cry[7]:FCI,7456
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/waddr_r_cry[7]:FCO,7456
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/waddr_r_cry[7]:S,7488
DMMainPorts_0/RegisterSpace/un1_serialnumber_0_iv[17]:A,7795
DMMainPorts_0/RegisterSpace/un1_serialnumber_0_iv[17]:B,6567
DMMainPorts_0/RegisterSpace/un1_serialnumber_0_iv[17]:C,6473
DMMainPorts_0/RegisterSpace/un1_serialnumber_0_iv[17]:D,5468
DMMainPorts_0/RegisterSpace/un1_serialnumber_0_iv[17]:Y,5468
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_165:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_165:IPB,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_93:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_119:IPB,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_125:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_125:IPB,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_23:IPB,
DMMainPorts_0/RS433_Rx3/Uart/Uart/bitpos[2]:ALn,3539
DMMainPorts_0/RS433_Rx3/Uart/Uart/bitpos[2]:CLK,13617
DMMainPorts_0/RS433_Rx3/Uart/Uart/bitpos[2]:D,14380
DMMainPorts_0/RS433_Rx3/Uart/Uart/bitpos[2]:Q,13617
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_19:C,8626
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_19:IPB,
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_19:IPC,8626
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/do_read_i_0_o2_i:A,6475
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/do_read_i_0_o2_i:B,6402
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/do_read_i_0_o2_i:Y,6402
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_130:IPB,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_164:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_164:IPB,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_35:IPB,
DMMainPorts_0/DacWriteNextState_ns_0_a2_i[0]:A,7782
DMMainPorts_0/DacWriteNextState_ns_0_a2_i[0]:B,7704
DMMainPorts_0/DacWriteNextState_ns_0_a2_i[0]:Y,7704
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:CLK0,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:CLK0_PAD,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:CLK1,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:CLK2,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:CLK3,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GL0,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GL1,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GPD0_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GPD1_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GPD2_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GPD3_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX0_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX0_HOLD_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX0_SEL,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX1_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX1_HOLD_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX1_SEL,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX2_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX2_HOLD_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX2_SEL,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX3_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX3_HOLD_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX3_SEL,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[2],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[3],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[4],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[5],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[6],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[7],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PCLK,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PENABLE,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PLL_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PLL_BYPASS_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PLL_POWERDOWN_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PRESET_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PSEL,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[0],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[1],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[2],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[3],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[4],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[5],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[6],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[7],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWRITE,
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/raddr_r_cry[1]:B,7479
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/raddr_r_cry[1]:FCI,7456
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/raddr_r_cry[1]:FCO,7456
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/raddr_r_cry[1]:S,7592
DMMainPorts_0/RegisterSpace/un1_serialnumber_1_iv[12]:A,6602
DMMainPorts_0/RegisterSpace/un1_serialnumber_1_iv[12]:B,7710
DMMainPorts_0/RegisterSpace/un1_serialnumber_1_iv[12]:C,5586
DMMainPorts_0/RegisterSpace/un1_serialnumber_1_iv[12]:D,5468
DMMainPorts_0/RegisterSpace/un1_serialnumber_1_iv[12]:Y,5468
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_124:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_124:IPB,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_18:A,-355
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_18:B,-345
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_18:IPA,-355
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_18:IPB,-345
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0/FF_10:IPENn,
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/do_read:A,4601
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/do_read:B,4522
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/do_read:Y,4522
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0_OLDA[0]:CLK,-2104
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0_OLDA[0]:D,5481
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0_OLDA[0]:Q,-2104
DMMainPorts_0/RS433_Rx3/UartFifo/Last_rone_i:ALn,5851
DMMainPorts_0/RS433_Rx3/UartFifo/Last_rone_i:CLK,7706
DMMainPorts_0/RS433_Rx3/UartFifo/Last_rone_i:D,8647
DMMainPorts_0/RS433_Rx3/UartFifo/Last_rone_i:Q,7706
nCsD_obuf/U0/U_IOOUTFF:A,
nCsD_obuf/U0/U_IOOUTFF:Y,
DMMainPorts_0/Uart3BitClockDiv/clko_i:ALn,6888
DMMainPorts_0/Uart3BitClockDiv/clko_i:CLK,
DMMainPorts_0/Uart3BitClockDiv/clko_i:D,2798
DMMainPorts_0/Uart3BitClockDiv/clko_i:Q,
DMMainPorts_0/RS433_Rx3/Uart/Uart/samplecnt[3]:ALn,3539
DMMainPorts_0/RS433_Rx3/Uart/Uart/samplecnt[3]:CLK,14772
DMMainPorts_0/RS433_Rx3/Uart/Uart/samplecnt[3]:D,14237
DMMainPorts_0/RS433_Rx3/Uart/Uart/samplecnt[3]:Q,14772
DMMainPorts_0/RS433_Tx3/UartTxFifo/DMMainPorts_0_RamBusDataOut_m[25]:A,-316
DMMainPorts_0/RS433_Tx3/UartTxFifo/DMMainPorts_0_RamBusDataOut_m[25]:B,2988
DMMainPorts_0/RS433_Tx3/UartTxFifo/DMMainPorts_0_RamBusDataOut_m[25]:Y,-316
DMMainPorts_0/RS433_Tx3/IBufTxInProgress_i/Temp1:CLK,8660
DMMainPorts_0/RS433_Tx3/IBufTxInProgress_i/Temp1:D,4903
DMMainPorts_0/RS433_Tx3/IBufTxInProgress_i/Temp1:Q,8660
DMMainPorts_0/RegisterSpace/DataOut_RNISF0N[6]:A,-296
DMMainPorts_0/RegisterSpace/DataOut_RNISF0N[6]:B,3002
DMMainPorts_0/RegisterSpace/DataOut_RNISF0N[6]:Y,-296
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_27:C,8548
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_27:IPB,
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_27:IPC,8548
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_36:IPA,
DMMainPorts_0/GenRamDataBus.26.IBUF_RamData_i/O:CLK,8654
DMMainPorts_0/GenRamDataBus.26.IBUF_RamData_i/O:D,-2696
DMMainPorts_0/GenRamDataBus.26.IBUF_RamData_i/O:Q,8654
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_32:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_32:IPB,
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/raddr_r_cry[7]:B,7575
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/raddr_r_cry[7]:FCI,7456
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/raddr_r_cry[7]:FCO,7456
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/raddr_r_cry[7]:S,7488
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_230:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_230:IPB,
DMMainPorts_0/RS433_Tx3/NextState_RNO[0]:A,7722
DMMainPorts_0/RS433_Tx3/NextState_RNO[0]:Y,7722
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_99:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_99:IPB,
TP_obuf[6]/U0/U_IOOUTFF:A,
TP_obuf[6]/U0/U_IOOUTFF:Y,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_29:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_29:IPB,
DMMainPorts_0/RS433_Tx3/UartTxUart/txd18:A,16377
DMMainPorts_0/RS433_Tx3/UartTxUart/txd18:B,16299
DMMainPorts_0/RS433_Tx3/UartTxUart/txd18:C,16247
DMMainPorts_0/RS433_Tx3/UartTxUart/txd18:D,16162
DMMainPorts_0/RS433_Tx3/UartTxUart/txd18:Y,16162
DMMainPorts_0/RS433_Rx3/Uart/Uart/DataO[3]:ALn,3539
DMMainPorts_0/RS433_Rx3/Uart/Uart/DataO[3]:CLK,971
DMMainPorts_0/RS433_Rx3/Uart/Uart/DataO[3]:D,18465
DMMainPorts_0/RS433_Rx3/Uart/Uart/DataO[3]:EN,16163
DMMainPorts_0/RS433_Rx3/Uart/Uart/DataO[3]:Q,971
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/update.un7_counter_r_0_a2:A,5602
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/update.un7_counter_r_0_a2:B,6612
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/update.un7_counter_r_0_a2:C,7611
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/update.un7_counter_r_0_a2:D,6501
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/update.un7_counter_r_0_a2:Y,5602
DMMainPorts_0/RS433_Tx3/UartTxFifo/DMMainPorts_0_RamBusDataOut_m[19]:A,-252
DMMainPorts_0/RS433_Tx3/UartTxFifo/DMMainPorts_0_RamBusDataOut_m[19]:B,3052
DMMainPorts_0/RS433_Tx3/UartTxFifo/DMMainPorts_0_RamBusDataOut_m[19]:Y,-252
DMMainPorts_0/IBufCE/Temp1:CLK,8660
DMMainPorts_0/IBufCE/Temp1:D,-4544
DMMainPorts_0/IBufCE/Temp1:Q,8660
DMMainPorts_0/Uart3TxBitClockDiv/div_i:ALn,4576
DMMainPorts_0/Uart3TxBitClockDiv/div_i:CLK,17505
DMMainPorts_0/Uart3TxBitClockDiv/div_i:D,14048
DMMainPorts_0/Uart3TxBitClockDiv/div_i:Q,17505
DMMainPorts_0/un3_registerspacewritereq_0_a2:A,5863
DMMainPorts_0/un3_registerspacewritereq_0_a2:B,4649
DMMainPorts_0/un3_registerspacewritereq_0_a2:C,5734
DMMainPorts_0/un3_registerspacewritereq_0_a2:Y,4649
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_1:B,8450
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_1:IPB,8450
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_1:IPC,
DMMainPorts_0/RegisterSpace/DataOut_RNITG0N[7]:A,-277
DMMainPorts_0/RegisterSpace/DataOut_RNITG0N[7]:B,3021
DMMainPorts_0/RegisterSpace/DataOut_RNITG0N[7]:Y,-277
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_106:IPB,
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_RNI5SGM:A,5815
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_RNI5SGM:B,3606
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_RNI5SGM:C,5778
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_RNI5SGM:Y,3606
DMMainPorts_0/RegisterSpace/DataOut_RNIGE6O[28]:A,-357
DMMainPorts_0/RegisterSpace/DataOut_RNIGE6O[28]:B,2941
DMMainPorts_0/RegisterSpace/DataOut_RNIGE6O[28]:Y,-357
DMMainPorts_0/Uart3BitClockDiv/op_lt.op_lt.clkdiv16_cry_2:A,6355
DMMainPorts_0/Uart3BitClockDiv/op_lt.op_lt.clkdiv16_cry_2:B,6304
DMMainPorts_0/Uart3BitClockDiv/op_lt.op_lt.clkdiv16_cry_2:FCI,6274
DMMainPorts_0/Uart3BitClockDiv/op_lt.op_lt.clkdiv16_cry_2:FCO,6274
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_0:A,-1375
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_0:IPA,-1375
nCsD_obuf/U0/U_IOPAD:D,
nCsD_obuf/U0/U_IOPAD:E,
nCsD_obuf/U0/U_IOPAD:PAD,
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r_s[9]:B,7576
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r_s[9]:FCI,7456
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r_s[9]:S,7456
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_107:IPB,
Ux2Jmp_obuft/U0/U_IOOUTFF:A,
Ux2Jmp_obuft/U0/U_IOOUTFF:Y,
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r_cry[6]:B,7559
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r_cry[6]:FCI,7456
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r_cry[6]:FCO,7456
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r_cry[6]:S,7504
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA[3]:CLK,5778
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA[3]:D,5534
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA[3]:Q,5778
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_257:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_257:IPB,
DMMainPorts_0/RS433_Rx3/ClkSyncWrite/O:CLK,7795
DMMainPorts_0/RS433_Rx3/ClkSyncWrite/O:D,8660
DMMainPorts_0/RS433_Rx3/ClkSyncWrite/O:Q,7795
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_233:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_233:IPB,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_231:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_231:IPB,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_219:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_219:IPB,
TP_obuf[3]/U0/U_IOOUTFF:A,
TP_obuf[3]/U0/U_IOOUTFF:Y,
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r[0]:ALn,5851
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r[0]:CLK,7456
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r[0]:D,7758
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r[0]:EN,7548
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/waddr_r[0]:Q,7456
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r_RNIMRHH1[2]:A,7539
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r_RNIMRHH1[2]:B,7412
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r_RNIMRHH1[2]:C,7340
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r_RNIMRHH1[2]:FCI,7310
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r_RNIMRHH1[2]:FCO,7310
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r_RNIMRHH1[2]:S,7425
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/counter_r[5]:ALn,5851
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/counter_r[5]:CLK,4725
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/counter_r[5]:D,7379
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/counter_r[5]:EN,6429
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/counter_r[5]:Q,4725
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_236:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_236:IPB,
DMMainPorts_0/RS433_Rx3/Uart/ClkSyncRxd/Temp1:CLK,18465
DMMainPorts_0/RS433_Rx3/Uart/ClkSyncRxd/Temp1:D,6348
DMMainPorts_0/RS433_Rx3/Uart/ClkSyncRxd/Temp1:Q,18465
DMMainPorts_0/RegisterSpace/un1_serialnumber_0_iv_RNO[29]:A,5553
DMMainPorts_0/RegisterSpace/un1_serialnumber_0_iv_RNO[29]:B,6631
DMMainPorts_0/RegisterSpace/un1_serialnumber_0_iv_RNO[29]:Y,5553
DMMainPorts_0/IBufRxd3/O:CLK,6348
DMMainPorts_0/IBufRxd3/O:D,8660
DMMainPorts_0/IBufRxd3/O:Q,6348
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_186:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_143:IPB,
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/update.count_o_3[2]:A,7721
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/update.count_o_3[2]:B,7690
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/update.count_o_3[2]:Y,7690
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_RNI7UGM:A,5815
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_RNI7UGM:B,3646
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_RNI7UGM:C,5778
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_RNI7UGM:Y,3646
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r[7]:ALn,5851
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r[7]:CLK,5447
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r[7]:D,7355
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r[7]:EN,6407
DMMainPorts_0/RS433_Rx3/UartFifo/fifo_i/counter_r[7]:Q,5447
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_267:IPA,
Ux2FPGA_sb_0/Ux2FPGA_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_267:IPB,
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/update.un16_counter_r_0_a2:A,4653
DMMainPorts_0/RS433_Tx3/UartTxFifo/fifo_i/update.un16_counter_r_0_a2:B,5516
