pin,slack
DMMainPorts_1/RS433_Rx3/Uart/Uart/bitpos[2]:CLK,
DMMainPorts_1/RS433_Rx3/Uart/Uart/bitpos[2]:D,
DMMainPorts_1/RS433_Rx3/Uart/Uart/bitpos[2]:Q,
DMMainPorts_1/Uart1BitClockDiv/clko_i_inferred_clock_RNIV338/U0:An,
DMMainPorts_1/Uart1BitClockDiv/clko_i_inferred_clock_RNIV338/U0:YNn,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_183:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_183:IPB,
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/ram_ram_0_0/FF_7:IPENn,
DMMainPorts_1/RS422_Rx1/Uart/Uart/bitpos_10_iv_RNO[3]:A,
DMMainPorts_1/RS422_Rx1/Uart/Uart/bitpos_10_iv_RNO[3]:B,
DMMainPorts_1/RS422_Rx1/Uart/Uart/bitpos_10_iv_RNO[3]:C,
DMMainPorts_1/RS422_Rx1/Uart/Uart/bitpos_10_iv_RNO[3]:D,
DMMainPorts_1/RS422_Rx1/Uart/Uart/bitpos_10_iv_RNO[3]:Y,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_148:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_148:IPB,
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNIUFRM7[9]:A,7224
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNIUFRM7[9]:B,7103
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNIUFRM7[9]:C,7005
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNIUFRM7[9]:FCI,6872
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNIUFRM7[9]:FCO,6872
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/counter_r_RNIUFRM7[9]:S,6891
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_RNIU7N9:A,5158
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_RNIU7N9:B,2549
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_RNIU7N9:C,5117
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_RNIU7N9:Y,2549
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_142:IPB,
DMMainPorts_1/RS422_Rx0/Uart/Uart/RReg[3]:CLK,
DMMainPorts_1/RS422_Rx0/Uart/Uart/RReg[3]:D,
DMMainPorts_1/RS422_Rx0/Uart/Uart/RReg[3]:EN,
DMMainPorts_1/RS422_Rx0/Uart/Uart/RReg[3]:Q,
DMMainPorts_1/RS422_Rx2/Uart/Uart/RReg[7]:CLK,
DMMainPorts_1/RS422_Rx2/Uart/Uart/RReg[7]:D,
DMMainPorts_1/RS422_Rx2/Uart/Uart/RReg[7]:EN,
DMMainPorts_1/RS422_Rx2/Uart/Uart/RReg[7]:Q,
DMMainPorts_1/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0_OLDA[4]:CLK,7289
DMMainPorts_1/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0_OLDA[4]:D,4772
DMMainPorts_1/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0_OLDA[4]:Q,7289
DMMainPorts_1/DMDacsF_i/Spi/un4_xfercomplete_ilto4:A,3857
DMMainPorts_1/DMDacsF_i/Spi/un4_xfercomplete_ilto4:B,2655
DMMainPorts_1/DMDacsF_i/Spi/un4_xfercomplete_ilto4:C,3727
DMMainPorts_1/DMDacsF_i/Spi/un4_xfercomplete_ilto4:D,3634
DMMainPorts_1/DMDacsF_i/Spi/un4_xfercomplete_ilto4:Y,2655
DMMainPorts_1/RS433_Tx3/UartTxUart/BitCnt[1]:ALn,
DMMainPorts_1/RS433_Tx3/UartTxUart/BitCnt[1]:CLK,
DMMainPorts_1/RS433_Tx3/UartTxUart/BitCnt[1]:D,
DMMainPorts_1/RS433_Tx3/UartTxUart/BitCnt[1]:Q,
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/ram_ram_0_0/CFG_32:IPB,
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/ram_ram_0_0/CFG_32:IPC,
DMMainPorts_1/DMDacsB_i/Spi/un6_clkdiv_s_8:B,6063
DMMainPorts_1/DMDacsB_i/Spi/un6_clkdiv_s_8:FCI,5948
DMMainPorts_1/DMDacsB_i/Spi/un6_clkdiv_s_8:S,5948
DMMainPorts_1/RS422_Tx0/UartTxFifo/r_ack_1_sqmuxa_i:A,7329
DMMainPorts_1/RS422_Tx0/UartTxFifo/r_ack_1_sqmuxa_i:B,7251
DMMainPorts_1/RS422_Tx0/UartTxFifo/r_ack_1_sqmuxa_i:Y,7251
DMMainPorts_1/DMDacsE_i/Spi/un6_clkdiv_cry_3:B,6013
DMMainPorts_1/DMDacsE_i/Spi/un6_clkdiv_cry_3:FCI,5948
DMMainPorts_1/DMDacsE_i/Spi/un6_clkdiv_cry_3:FCO,5948
DMMainPorts_1/DMDacsE_i/Spi/un6_clkdiv_cry_3:S,7153
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/ram_ram_0_0/CFG_3:IPB,
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/ram_ram_0_0/CFG_3:IPC,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_262:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_262:IPB,
DMMainPorts_1/RS422_Tx1/UartTxFifo/fifo_i/ram_ram_0_0/FF_30:IPENn,
DMMainPorts_1/RegisterSpace/PowernEnHV_i:CLK,6239
DMMainPorts_1/RegisterSpace/PowernEnHV_i:D,8451
DMMainPorts_1/RegisterSpace/PowernEnHV_i:EN,2754
DMMainPorts_1/RegisterSpace/PowernEnHV_i:Q,6239
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_84:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_84:IPB,
DMMainPorts_1/Uart2BitClockDiv/op_lt.clko_i3_0_cry_1:A,4814
DMMainPorts_1/Uart2BitClockDiv/op_lt.clko_i3_0_cry_1:B,6069
DMMainPorts_1/Uart2BitClockDiv/op_lt.clko_i3_0_cry_1:FCI,5076
DMMainPorts_1/Uart2BitClockDiv/op_lt.clko_i3_0_cry_1:FCO,4814
DMMainPorts_1/DMDacsB_i/Spi/ClkDiv_3[8]:A,4790
DMMainPorts_1/DMDacsB_i/Spi/ClkDiv_3[8]:B,5948
DMMainPorts_1/DMDacsB_i/Spi/ClkDiv_3[8]:Y,4790
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/do_write:A,5111
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/do_write:B,5145
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/do_write:Y,5111
DMMainPorts_1/nCsDacsC_i[0]:CLK,
DMMainPorts_1/nCsDacsC_i[0]:D,8451
DMMainPorts_1/nCsDacsC_i[0]:EN,8177
DMMainPorts_1/nCsDacsC_i[0]:Q,
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0/CFG_34:IPB,
DMMainPorts_1/DMDacsB_i/Spi/ClkDiv[6]:ALn,8198
DMMainPorts_1/DMDacsB_i/Spi/ClkDiv[6]:CLK,2551
DMMainPorts_1/DMDacsB_i/Spi/ClkDiv[6]:D,4790
DMMainPorts_1/DMDacsB_i/Spi/ClkDiv[6]:Q,2551
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_OLDA[4]:CLK,2897
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_OLDA[4]:D,4772
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_OLDA[4]:Q,2897
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0/CFG_16:C,8440
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0/CFG_16:IPB,
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0/CFG_16:IPC,8440
DMMainPorts_1/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_19:C,8417
DMMainPorts_1/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_19:IPB,
DMMainPorts_1/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_19:IPC,8417
DMMainPorts_1/RS422_Tx1/UartTxFifo/fifo_i/ram_ram_0_0/CFG_26:C,8386
DMMainPorts_1/RS422_Tx1/UartTxFifo/fifo_i/ram_ram_0_0/CFG_26:IPB,
DMMainPorts_1/RS422_Tx1/UartTxFifo/fifo_i/ram_ram_0_0/CFG_26:IPC,8386
DMMainPorts_1/RegisterSpace/un1_serialnumber_1_iv_0_0[11]:A,6323
DMMainPorts_1/RegisterSpace/un1_serialnumber_1_iv_0_0[11]:B,6231
DMMainPorts_1/RegisterSpace/un1_serialnumber_1_iv_0_0[11]:C,3773
DMMainPorts_1/RegisterSpace/un1_serialnumber_1_iv_0_0[11]:D,3717
DMMainPorts_1/RegisterSpace/un1_serialnumber_1_iv_0_0[11]:Y,3717
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_0[4]:A,1590
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_0[4]:B,2738
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_0[4]:C,3859
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_0[4]:D,1331
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_0[4]:Y,1331
DMMainPorts_1/RegisterSpace/Uart0TxFifoData_Z[1]:CLK,8220
DMMainPorts_1/RegisterSpace/Uart0TxFifoData_Z[1]:D,8428
DMMainPorts_1/RegisterSpace/Uart0TxFifoData_Z[1]:EN,3670
DMMainPorts_1/RegisterSpace/Uart0TxFifoData_Z[1]:Q,8220
DMMainPorts_1/DMDacsC_i/Spi/un6_clkdiv_s_1_8269:B,5948
DMMainPorts_1/DMDacsC_i/Spi/un6_clkdiv_s_1_8269:FCO,5948
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/ram_ram_0_0/CFG_1:B,8210
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/ram_ram_0_0/CFG_1:IPB,8210
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/ram_ram_0_0/CFG_1:IPC,
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_RNIP2N9:A,3968
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_RNIP2N9:B,1371
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_RNIP2N9:C,3927
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0_RNIP2N9:Y,1371
DMMainPorts_1/DMDacsA_i/Spi/un1_spirst2_i[0]:A,7205
DMMainPorts_1/DMDacsA_i/Spi/un1_spirst2_i[0]:B,7095
DMMainPorts_1/DMDacsA_i/Spi/un1_spirst2_i[0]:C,7172
DMMainPorts_1/DMDacsA_i/Spi/un1_spirst2_i[0]:D,7014
DMMainPorts_1/DMDacsA_i/Spi/un1_spirst2_i[0]:Y,7014
nCsA_obuf[3]/U0/U_IOOUTFF:A,
nCsA_obuf[3]/U0/U_IOOUTFF:Y,
DMMainPorts_1/RS422_Rx2/Uart/Uart/bitpos[1]:ALn,
DMMainPorts_1/RS422_Rx2/Uart/Uart/bitpos[1]:CLK,
DMMainPorts_1/RS422_Rx2/Uart/Uart/bitpos[1]:D,
DMMainPorts_1/RS422_Rx2/Uart/Uart/bitpos[1]:Q,
DMMainPorts_1/RS422_Rx1/Uart/Uart/samplecnt_RNO[2]:A,
DMMainPorts_1/RS422_Rx1/Uart/Uart/samplecnt_RNO[2]:B,
DMMainPorts_1/RS422_Rx1/Uart/Uart/samplecnt_RNO[2]:C,
DMMainPorts_1/RS422_Rx1/Uart/Uart/samplecnt_RNO[2]:D,
DMMainPorts_1/RS422_Rx1/Uart/Uart/samplecnt_RNO[2]:Y,
DMMainPorts_1/RegisterSpace/un3_registerspacewritereq_i_o2:A,3764
DMMainPorts_1/RegisterSpace/un3_registerspacewritereq_i_o2:B,3664
DMMainPorts_1/RegisterSpace/un3_registerspacewritereq_i_o2:C,3604
DMMainPorts_1/RegisterSpace/un3_registerspacewritereq_i_o2:D,3524
DMMainPorts_1/RegisterSpace/un3_registerspacewritereq_i_o2:Y,3524
DMMainPorts_1/DMDacsA_i/Spi/Mosi_i_RNO_1:A,6195
DMMainPorts_1/DMDacsA_i/Spi/Mosi_i_RNO_1:B,4931
DMMainPorts_1/DMDacsA_i/Spi/Mosi_i_RNO_1:C,6049
DMMainPorts_1/DMDacsA_i/Spi/Mosi_i_RNO_1:Y,4931
MosiC_obuf/U0/U_IOPAD:D,
MosiC_obuf/U0/U_IOPAD:E,
MosiC_obuf/U0/U_IOPAD:PAD,
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/ram_ram_0_0_OLDA_RNI3G2L[1]:A,7330
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/ram_ram_0_0_OLDA_RNI3G2L[1]:B,4733
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/ram_ram_0_0_OLDA_RNI3G2L[1]:C,7289
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/ram_ram_0_0_OLDA_RNI3G2L[1]:Y,4733
DMMainPorts_1/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/FF_30:IPENn,
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/counter_r[8]:ALn,6275
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/counter_r[8]:CLK,4767
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/counter_r[8]:D,6910
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/counter_r[8]:EN,5807
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/counter_r[8]:Q,4767
DMMainPorts_1/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_16:C,8440
DMMainPorts_1/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_16:IPB,
DMMainPorts_1/RS433_Tx3/UartTxFifo/fifo_i/ram_ram_0_0/CFG_16:IPC,8440
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/waddr_r[8]:ALn,6275
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/waddr_r[8]:CLK,7181
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/waddr_r[8]:D,7039
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/waddr_r[8]:EN,8300
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/waddr_r[8]:Q,7181
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/ram_ram_0_0/CFG_2:IPB,
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/ram_ram_0_0/CFG_2:IPC,
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_1[4]:A,380
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_1[4]:B,280
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_1[4]:C,1476
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_1[4]:D,1469
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_1[4]:Y,280
DMMainPorts_1/RS422_Tx1/UartTxFifo/fifo_i/raddr_r[1]:ALn,6275
DMMainPorts_1/RS422_Tx1/UartTxFifo/fifo_i/raddr_r[1]:CLK,7066
DMMainPorts_1/RS422_Tx1/UartTxFifo/fifo_i/raddr_r[1]:D,7200
DMMainPorts_1/RS422_Tx1/UartTxFifo/fifo_i/raddr_r[1]:EN,7071
DMMainPorts_1/RS422_Tx1/UartTxFifo/fifo_i/raddr_r[1]:Q,7066
MosiF_obuf/U0/U_IOENFF:A,
MosiF_obuf/U0/U_IOENFF:Y,
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/update.un16_counter_r_0_a2_0_7:A,5094
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/update.un16_counter_r_0_a2_0_7:B,4994
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/update.un16_counter_r_0_a2_0_7:C,4942
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/update.un16_counter_r_0_a2_0_7:D,4862
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/update.un16_counter_r_0_a2_0_7:Y,4862
DMMainPorts_1/DMDacsE_i/Spi/SpiBitPos[0]:ALn,8198
DMMainPorts_1/DMDacsE_i/Spi/SpiBitPos[0]:CLK,2739
DMMainPorts_1/DMDacsE_i/Spi/SpiBitPos[0]:D,3806
DMMainPorts_1/DMDacsE_i/Spi/SpiBitPos[0]:Q,2739
DMMainPorts_1/DMDacsA_i/Spi/Mosi_i:ALn,8307
DMMainPorts_1/DMDacsA_i/Spi/Mosi_i:CLK,
DMMainPorts_1/DMDacsA_i/Spi/Mosi_i:D,3841
DMMainPorts_1/DMDacsA_i/Spi/Mosi_i:EN,4426
DMMainPorts_1/DMDacsA_i/Spi/Mosi_i:Q,
DMMainPorts_1/Uart1BitClockDiv/op_lt.op_lt.clkdiv15_cry_7:A,5810
DMMainPorts_1/Uart1BitClockDiv/op_lt.op_lt.clkdiv15_cry_7:B,5751
DMMainPorts_1/Uart1BitClockDiv/op_lt.op_lt.clkdiv15_cry_7:FCI,5632
DMMainPorts_1/Uart1BitClockDiv/op_lt.op_lt.clkdiv15_cry_7:FCO,5632
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA_RNIARIQ[3]:A,3678
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA_RNIARIQ[3]:B,1128
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA_RNIARIQ[3]:C,3637
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA_RNIARIQ[3]:Y,1128
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/empty_r_RNILQHG:B,3714
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/empty_r_RNILQHG:C,3658
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/empty_r_RNILQHG:FCO,6864
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/empty_r_RNILQHG:Y,3658
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/ram_ram_0_0/CFG_4:IPB,
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/ram_ram_0_0/CFG_4:IPC,
DMMainPorts_1/RS422_Rx2/Uart/Uart/RReg_0_sqmuxa_3:A,
DMMainPorts_1/RS422_Rx2/Uart/Uart/RReg_0_sqmuxa_3:B,
DMMainPorts_1/RS422_Rx2/Uart/Uart/RReg_0_sqmuxa_3:Y,
DMMainPorts_1/RegisterSpace/Uart1ClkDivider_i[0]:ALn,7476
DMMainPorts_1/RegisterSpace/Uart1ClkDivider_i[0]:CLK,5685
DMMainPorts_1/RegisterSpace/Uart1ClkDivider_i[0]:D,8459
DMMainPorts_1/RegisterSpace/Uart1ClkDivider_i[0]:EN,3307
DMMainPorts_1/RegisterSpace/Uart1ClkDivider_i[0]:Q,5685
DMMainPorts_1/DMDacsD_i/Spi/SpiBitPos_Z[3]:ALn,8198
DMMainPorts_1/DMDacsD_i/Spi/SpiBitPos_Z[3]:CLK,3833
DMMainPorts_1/DMDacsD_i/Spi/SpiBitPos_Z[3]:D,2410
DMMainPorts_1/DMDacsD_i/Spi/SpiBitPos_Z[3]:Q,3833
DMMainPorts_1/DMDacsF_i/Spi/un4_xfercomplete_ilto4_1:A,2739
DMMainPorts_1/DMDacsF_i/Spi/un4_xfercomplete_ilto4_1:B,2655
DMMainPorts_1/DMDacsF_i/Spi/un4_xfercomplete_ilto4_1:Y,2655
DMMainPorts_1/DMDacsB_i/Spi/Sck_i_0:A,7362
DMMainPorts_1/DMDacsB_i/Spi/Sck_i_0:B,4690
DMMainPorts_1/DMDacsB_i/Spi/Sck_i_0:C,3926
DMMainPorts_1/DMDacsB_i/Spi/Sck_i_0:Y,3926
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA_RNIBSIQ[4]:A,2838
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA_RNIBSIQ[4]:B,280
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA_RNIBSIQ[4]:C,2797
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/ram_ram_0_0_OLDA_RNIBSIQ[4]:Y,280
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/raddr_r[9]:ALn,6275
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/raddr_r[9]:CLK,7181
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/raddr_r[9]:D,7039
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/raddr_r[9]:EN,7056
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/raddr_r[9]:Q,7181
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/ram_ram_0_0_RNI28R61:A,4068
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/ram_ram_0_0_RNI28R61:B,1444
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/ram_ram_0_0_RNI28R61:C,4027
DMMainPorts_1/RS422_Rx1/UartFifo/fifo_i/ram_ram_0_0_RNI28R61:Y,1444
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_0[29]:A,6279
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_0[29]:B,6171
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_0[29]:C,3713
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_0[29]:D,3408
DMMainPorts_1/RegisterSpace/un1_serialnumber_0_iv_0_0[29]:Y,3408
nCsF_obuf[3]/U0/U_IOPAD:D,
nCsF_obuf[3]/U0/U_IOPAD:E,
nCsF_obuf[3]/U0/U_IOPAD:PAD,
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/empty_r_RNO_0:A,6207
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/empty_r_RNO_0:B,6150
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/empty_r_RNO_0:C,4781
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/empty_r_RNO_0:D,4701
DMMainPorts_1/RS433_Rx3/UartFifo/fifo_i/empty_r_RNO_0:Y,4701
DMMainPorts_1/RegisterSpace/Uart0TxFifoData_Z[5]:CLK,8261
DMMainPorts_1/RegisterSpace/Uart0TxFifoData_Z[5]:D,8428
DMMainPorts_1/RegisterSpace/Uart0TxFifoData_Z[5]:EN,3670
DMMainPorts_1/RegisterSpace/Uart0TxFifoData_Z[5]:Q,8261
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/raddr_r_cry[3]:B,7104
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/raddr_r_cry[3]:FCI,7039
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/raddr_r_cry[3]:FCO,7039
DMMainPorts_1/RS422_Tx2/UartTxFifo/fifo_i/raddr_r_cry[3]:S,7153
DMMainPorts_1/DMDacsF_i/Spi/un6_clkdiv_s_1_8272:B,5948
DMMainPorts_1/DMDacsF_i/Spi/un6_clkdiv_s_1_8272:FCO,5948
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/ram_ram_0_0_RNI35VJ:A,3948
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/ram_ram_0_0_RNI35VJ:B,1367
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/ram_ram_0_0_RNI35VJ:C,3907
DMMainPorts_1/RS422_Rx2/UartFifo/fifo_i/ram_ram_0_0_RNI35VJ:Y,1367
DMMainPorts_1/Uart1TxBitClockDiv/un17_clkdiv_0_1.SUM_2[1]:A,
DMMainPorts_1/Uart1TxBitClockDiv/un17_clkdiv_0_1.SUM_2[1]:B,
DMMainPorts_1/Uart1TxBitClockDiv/un17_clkdiv_0_1.SUM_2[1]:Y,
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0/CFG_0:IPB,
DMMainPorts_1/RS422_Rx0/UartFifo/fifo_i/ram_ram_0_0/CFG_0:IPC,
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/ram_ram_0_0/CFG_2:IPB,
DMMainPorts_1/RS422_Tx0/UartTxFifo/fifo_i/ram_ram_0_0/CFG_2:IPC,
DMMainPorts_1/GenRamDataBus.19.IBUF_RamData_i/O:CLK,8451
