Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,Multi-Mode UART
Main_0/Primitives,70,768,0,0,0,0,0,3,0,0
Main_0/RS422_Rx0/ClkSyncWrite/Primitives,0,2,0,0,0,0,0,0,0,0
Main_0/RS422_Rx0/Uart/ClkSyncRxd/Primitives,0,2,0,0,0,0,0,0,0,0
Main_0/RS422_Rx0/Uart/Uart/Primitives,36,25,0,0,0,0,0,0,0,0
Main_0/RS422_Rx0/UartFifo/Primitives,2,4,0,0,0,0,0,0,0,0
Main_0/RS422_Rx0/UartFifo/fifo_i/Primitives,65,52,36,36,0,1,0,0,0,0
Main_0/RS422_Rx1/ClkSyncWrite/Primitives,0,2,0,0,0,0,0,0,0,0
Main_0/RS422_Rx1/Uart/ClkSyncRxd/Primitives,0,2,0,0,0,0,0,0,0,0
Main_0/RS422_Rx1/Uart/Uart/Primitives,36,25,0,0,0,0,0,0,0,0
Main_0/RS422_Rx1/UartFifo/Primitives,2,4,0,0,0,0,0,0,0,0
Main_0/RS422_Rx1/UartFifo/fifo_i/Primitives,65,52,36,36,0,1,0,0,0,0
Main_0/RS422_Rx2/ClkSyncWrite/Primitives,0,2,0,0,0,0,0,0,0,0
Main_0/RS422_Rx2/Uart/ClkSyncRxd/Primitives,0,2,0,0,0,0,0,0,0,0
Main_0/RS422_Rx2/Uart/Uart/Primitives,36,25,0,0,0,0,0,0,0,0
Main_0/RS422_Rx2/UartFifo/Primitives,2,4,0,0,0,0,0,0,0,0
Main_0/RS422_Rx2/UartFifo/fifo_i/Primitives,65,52,36,36,0,1,0,0,0,0
Main_0/RS422_Tx0/IBufStartTx/Primitives,0,2,0,0,0,0,0,0,0,0
Main_0/RS422_Tx0/IBufTxInProgress_i/Primitives,1,2,0,0,0,0,0,0,0,0
Main_0/RS422_Tx0/Primitives,5,6,0,0,0,0,0,0,0,0
Main_0/RS422_Tx0/UartTxFifo/Primitives,3,5,0,0,0,0,0,0,0,0
Main_0/RS422_Tx0/UartTxFifo/fifo_i/Primitives,67,53,36,36,0,1,0,0,0,0
Main_0/RS422_Tx0/UartTxUart/Primitives,19,7,0,0,0,0,0,0,0,0
Main_0/RS422_Tx1/IBufStartTx/Primitives,0,2,0,0,0,0,0,0,0,0
Main_0/RS422_Tx1/IBufTxInProgress_i/Primitives,1,2,0,0,0,0,0,0,0,0
Main_0/RS422_Tx1/Primitives,5,6,0,0,0,0,0,0,0,0
Main_0/RS422_Tx1/UartTxFifo/Primitives,3,5,0,0,0,0,0,0,0,0
Main_0/RS422_Tx1/UartTxFifo/fifo_i/Primitives,67,53,36,36,0,1,0,0,0,0
Main_0/RS422_Tx1/UartTxUart/Primitives,19,7,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/IBufStartTx/Primitives,0,2,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/IBufTxInProgress_i/Primitives,1,2,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/Primitives,5,6,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/UartTxFifo/Primitives,3,5,0,0,0,0,0,0,0,0
Main_0/RS422_Tx2/UartTxFifo/fifo_i/Primitives,67,53,36,36,0,1,0,0,0,0
Main_0/RS422_Tx2/UartTxUart/Primitives,19,7,0,0,0,0,0,0,0,0
Main_0/RegisterSpace/Primitives,1151,101,0,0,0,0,0,1,0,0
Main_0/StepperMotor/Primitives,44,17,0,0,0,0,0,1,0,0
Main_0/StepperMotor/StepOneShot/Primitives,36,25,0,0,0,0,0,0,0,0
Main_0/Uart0BitClockDiv/Primitives,18,8,0,0,0,0,0,1,0,0
Main_0/Uart0TxBitClockDiv/Primitives,2,4,0,0,0,0,0,1,0,0
Main_0/Uart1BitClockDiv/Primitives,18,8,0,0,0,0,0,1,0,0
Main_0/Uart1TxBitClockDiv/Primitives,8,4,0,0,0,0,0,1,0,0
Main_0/Uart2BitClockDiv/Primitives,18,8,0,0,0,0,0,1,0,0
Main_0/Uart2TxBitClockDiv/Primitives,2,4,0,0,0,0,0,1,0,0
Primitives/Primitives,1,0,0,0,28,0,0,0,0,0
